,zipcode,STATE,STATEFIPS,N1,A00100,A02650,N02650,avg_gross_income,avg_total_income
2167,08854,NJ,34,25520,1897082.0,1914596.0,25520,74337.06896551725,75023.35423197492
2168,08857,NJ,34,20480,1622325.0,1640574.0,20480,79215.087890625,80106.15234375
2169,08859,NJ,34,12180,809289.0,816976.0,12180,66444.08866995074,67075.20525451559
2170,08861,NJ,34,28270,995025.0,1002841.0,28270,35197.20551821719,35473.68234877963
2171,08863,NJ,34,6500,427960.0,431497.0,6500,65840.0,66384.15384615384
2172,08865,NJ,34,14390,819969.0,828379.0,14390,56981.86240444754,57566.29603891591
2173,08867,NJ,34,2540,373184.0,380529.0,2540,146922.8346456693,149814.56692913387
2174,08869,NJ,34,4010,296911.0,300051.0,4010,74042.6433915212,74825.68578553616
2175,08872,NJ,34,10190,681406.0,689099.0,10190,66870.06869479881,67625.02453385672
2176,08873,NJ,34,27810,2271301.0,2295860.0,27810,81672.09636821288,82555.1959726717
2177,08876,NJ,34,11460,1102666.0,1116129.0,11460,96218.67364746946,97393.45549738221
2178,08879,NJ,34,11640,755451.0,763695.0,11640,64901.28865979382,65609.53608247422
2179,08880,NJ,34,2450,138941.0,139922.0,2450,56710.61224489796,57111.02040816326
2180,08882,NJ,34,7640,457662.0,461696.0,7640,59903.40314136126,60431.41361256544
2181,08884,NJ,34,4150,289668.0,292322.0,4150,69799.51807228917,70439.0361445783
2182,08886,NJ,34,3340,295533.0,299999.0,3340,88482.93413173653,89820.05988023953
2183,08887,NJ,34,610,45498.0,46202.0,610,74586.88524590163,75740.98360655738
2184,08889,NJ,34,5110,738058.0,750845.0,5110,144434.05088062622,146936.39921722113
2185,08901,NJ,34,19000,762369.0,768948.0,19000,40124.68421052632,40470.94736842105
2186,08902,NJ,34,21240,1543032.0,1561501.0,21240,72647.45762711864,73516.99623352166
2187,08904,NJ,34,6750,595557.0,605005.0,6750,88230.66666666667,89630.37037037036
2188,10001,NY,36,15340,2785807.0,2820411.0,15340,181604.10691003912,183859.90873533246
2189,10002,NY,36,42290,2489499.0,2523419.0,42290,58867.32087964058,59669.40174982265
2190,10003,NY,36,28950,8764798.0,8866747.0,28950,302756.40759930917,306277.9620034542
2191,10004,NY,36,2450,931468.0,943900.0,2450,380191.02040816325,385265.306122449
2192,10005,NY,36,5920,2289217.0,2315913.0,5920,386692.0608108108,391201.5202702703
2193,10006,NY,36,2470,493656.0,501831.0,2470,199860.7287449393,203170.44534412955
2194,10007,NY,36,3640,2494873.0,2523903.0,3640,685404.6703296703,693379.9450549451
2195,10009,NY,36,32690,2814678.0,2850831.0,32690,86102.11073722852,87208.04527378404
2196,10010,NY,36,17540,4252196.0,4308450.0,17540,242428.5062713797,245635.68985176738
2197,10011,NY,36,30190,9080628.0,9207647.0,30190,300782.6432593574,304989.96356409404
2198,10012,NY,36,12540,3558547.0,3605719.0,12540,283775.677830941,287537.4003189793
2199,10013,NY,36,15140,7343503.0,7420682.0,15140,485039.8282694848,490137.51651254954
2200,10014,NY,36,18720,5751000.0,5830470.0,18720,307211.53846153844,311456.73076923075
2201,10016,NY,36,32720,8331163.0,8419008.0,32720,254619.89608801957,257304.64547677262
2202,10017,NY,36,12150,5902708.0,5952175.0,12150,485819.58847736625,489890.9465020576
2203,10018,NY,36,6830,2425716.0,2452452.0,6830,355156.07613469986,359070.5710102489
2204,10019,NY,36,25750,7220520.0,7306115.0,25750,280408.5436893204,283732.62135922327
2205,10021,NY,36,23350,14303821.0,14438493.0,23350,612583.3404710921,618350.8779443254
2206,10022,NY,36,20230,12031917.0,12169071.0,20230,594756.1542263965,601535.8872960949
2207,10023,NY,36,34400,13623617.0,13798656.0,34400,396035.37790697673,401123.72093023255
